Query: NLB074925_01, Tunefamily: 10000_0, average precision:[1.0] 
Query: NLB074710_01, Tunefamily: 10012_0, average precision:[0.24649080441231977] 
Query: NLB075104_01, Tunefamily: 10012_0, average precision:[0.24149067980772157] 
Query: NLB075104_02, Tunefamily: 10012_0, average precision:[0.28725302103205946] 
Query: NLB075253_01, Tunefamily: 10012_0, average precision:[0.1437388732228592] 
Query: NLB076698_01, Tunefamily: 10012_0, average precision:[0.144979078824148] 
Query: NLB109066_01, Tunefamily: 10013_0, average precision:[1.0] 
Query: NLB111995_01, Tunefamily: 10013_0, average precision:[1.0] 
Query: NLB070458_01, Tunefamily: 10014_0, average precision:[0.1915201220630205] 
Query: NLB074822_01, Tunefamily: 10014_0, average precision:[0.39452618926064215] 
Query: NLB074822_02, Tunefamily: 10014_0, average precision:[0.3975698842891528] 
Query: NLB074822_03, Tunefamily: 10014_0, average precision:[0.1483004214559455] 
Query: NLB074822_04, Tunefamily: 10014_0, average precision:[0.14375854799375232] 
Query: NLB075016_01, Tunefamily: 10014_0, average precision:[0.1539445522371978] 
Query: NLB076620_01, Tunefamily: 10014_0, average precision:[0.14488749829369596] 
Query: NLB070128_01, Tunefamily: 10015_0, average precision:[0.8147869674185464] 
Query: NLB076657_01, Tunefamily: 10015_0, average precision:[0.40427935090119965] 
Query: NLB134435_01, Tunefamily: 10015_0, average precision:[0.44535469690268453] 
Query: NLB143272_01, Tunefamily: 10015_0, average precision:[0.22876173524242793] 
Query: NLB143901_01, Tunefamily: 10015_0, average precision:[0.45083967815479437] 
Query: NLB144943_01, Tunefamily: 10015_0, average precision:[0.39312550982237854] 
Query: NLB145502_01, Tunefamily: 10015_0, average precision:[0.44768532194417165] 
Query: NLB140305_01, Tunefamily: 10018_1, average precision:[0.5476190476190477] 
Query: NLB144674_01, Tunefamily: 10018_1, average precision:[0.524390243902439] 
Query: NLB124646_01, Tunefamily: 10022_1, average precision:[1.0] 
Query: NLB126871_01, Tunefamily: 10022_1, average precision:[1.0] 
Query: NLB075959_01, Tunefamily: 10022_4, average precision:[0.5093457943925234] 
Query: NLB075959_02, Tunefamily: 10022_4, average precision:[0.5217391304347826] 
Query: NLB070117_01, Tunefamily: 10024_0, average precision:[0.16777812770241796] 
Query: NLB070293_01, Tunefamily: 10024_0, average precision:[0.08366390960261341] 
Query: NLB071987_01, Tunefamily: 10024_0, average precision:[0.18043132659569408] 
Query: NLB074473_01, Tunefamily: 10024_0, average precision:[0.1676701741208118] 
Query: NLB076133_01, Tunefamily: 10024_0, average precision:[0.17015999501173276] 
Query: NLB141198_01, Tunefamily: 10024_0, average precision:[0.17477861490349286] 
Query: NLB072404_01, Tunefamily: 10025_2, average precision:[0.33709047648099566] 
Query: NLB072409_01, Tunefamily: 10025_2, average precision:[0.6687675070028011] 
Query: NLB149889_01, Tunefamily: 10025_2, average precision:[0.6687675070028011] 
Query: NLB140617_01, Tunefamily: 10026_0, average precision:[1.0] 
Query: NLB170245_01, Tunefamily: 10026_0, average precision:[1.0] 
Query: NLB073267_01, Tunefamily: 10035_0, average precision:[0.5625] 
Query: NLB074306_01, Tunefamily: 10035_0, average precision:[0.52] 
Query: NLB070289_01, Tunefamily: 10038_0, average precision:[1.0] 
Query: NLB071401_01, Tunefamily: 10038_0, average precision:[1.0] 
Query: NLB170218_01, Tunefamily: 10038_0, average precision:[0.9166666666666666] 
Query: NLB071315_01, Tunefamily: 10042_0, average precision:[1.0] 
Query: NLB170303_01, Tunefamily: 10042_0, average precision:[0.8333333333333333] 
Query: NLB072103_01, Tunefamily: 10043_0, average precision:[0.13919311168392168] 
Query: NLB072283_01, Tunefamily: 10043_0, average precision:[0.1278128779363044] 
Query: NLB072284_01, Tunefamily: 10043_0, average precision:[0.2814169261268233] 
Query: NLB072285_01, Tunefamily: 10043_0, average precision:[0.0821768875148516] 
Query: NLB072286_01, Tunefamily: 10043_0, average precision:[0.07104674664041527] 
Query: NLB072287_01, Tunefamily: 10043_0, average precision:[0.08845270925379939] 
Query: NLB072288_01, Tunefamily: 10043_0, average precision:[0.28338609929507186] 
Query: NLB072289_01, Tunefamily: 10043_0, average precision:[0.1365971842798835] 
Query: NLB073311_01, Tunefamily: 10043_0, average precision:[0.07564982122625788] 
Query: NLB073393_01, Tunefamily: 10043_0, average precision:[0.08515868770739966] 
Query: NLB073888_01, Tunefamily: 10043_0, average precision:[0.1744185040010288] 
Query: NLB073992_01, Tunefamily: 10043_0, average precision:[0.2668356827170468] 
Query: NLB074157_01, Tunefamily: 10043_0, average precision:[0.10416653791967824] 
Query: NLB074161_01, Tunefamily: 10043_0, average precision:[0.1030347914542773] 
Query: NLB074234_01, Tunefamily: 10043_0, average precision:[0.15265374963940154] 
Query: NLB074468_01, Tunefamily: 10043_0, average precision:[0.062264147250372014] 
Query: NLB074954_01, Tunefamily: 10043_0, average precision:[0.2899983623712492] 
Query: NLB070059_01, Tunefamily: 10045_0, average precision:[0.2672891098623036] 
Query: NLB071071_01, Tunefamily: 10045_0, average precision:[0.3205467372134039] 
Query: NLB073666_01, Tunefamily: 10045_0, average precision:[0.2747599932033474] 
Query: NLB139045_01, Tunefamily: 10045_0, average precision:[0.43396024464831806] 
Query: NLB072392_01, Tunefamily: 10046_0, average precision:[0.4668858207319746] 
Query: NLB072412_01, Tunefamily: 10046_0, average precision:[0.1115119143307916] 
Query: NLB073116_01, Tunefamily: 10046_0, average precision:[0.40029815146094216] 
Query: NLB072711_01, Tunefamily: 10048_1, average precision:[0.15707274247749067] 
Query: NLB073170_01, Tunefamily: 10048_1, average precision:[0.2726141065663371] 
Query: NLB074382_01, Tunefamily: 10048_1, average precision:[0.10315663538846226] 
Query: NLB074475_01, Tunefamily: 10048_1, average precision:[0.2702305193853848] 
Query: NLB075023_01, Tunefamily: 10048_1, average precision:[0.2997349672134279] 
Query: NLB075269_03, Tunefamily: 10048_1, average precision:[0.07969463927918642] 
Query: NLB080186_01, Tunefamily: 10048_1, average precision:[0.20419266631081226] 
Query: NLB111823_01, Tunefamily: 10048_1, average precision:[0.290816174713632] 
Query: NLB111826_01, Tunefamily: 10048_1, average precision:[0.1675255642793796] 
Query: NLB113156_01, Tunefamily: 10048_1, average precision:[0.09514209209614093] 
Query: NLB138637_01, Tunefamily: 10048_1, average precision:[0.290816174713632] 
Query: NLB146526_01, Tunefamily: 10048_1, average precision:[0.3121571980679202] 
Query: NLB180883_01, Tunefamily: 10048_1, average precision:[0.08681116787936773] 
Query: NLB075508_01, Tunefamily: 10048_2, average precision:[0.5333333333333333] 
Query: NLB076560_01, Tunefamily: 10048_2, average precision:[0.52] 
Query: NLB070483_01, Tunefamily: 10049_0, average precision:[1.0] 
Query: NLB070491_01, Tunefamily: 10049_0, average precision:[0.8333333333333333] 
Query: NLB070127_01, Tunefamily: 10050_0, average precision:[0.6782945736434108] 
Query: NLB072554_01, Tunefamily: 10050_0, average precision:[0.34228893869686605] 
Query: NLB074363_01, Tunefamily: 10050_0, average precision:[0.6798245614035088] 
Query: NLB070291_01, Tunefamily: 10051_0, average precision:[1.0] 
Query: NLB070650_01, Tunefamily: 10051_0, average precision:[1.0] 
Query: NLB170257_01, Tunefamily: 10051_0, average precision:[1.0] 
Query: NLB076596_01, Tunefamily: 10052_0, average precision:[0.33490065042484396] 
Query: NLB108567_01, Tunefamily: 10052_0, average precision:[0.33821701537195986] 
Query: NLB170272_01, Tunefamily: 10052_0, average precision:[0.3345139698579263] 
Query: NLB074880_01, Tunefamily: 10054_0, average precision:[0.2690027589647576] 
Query: NLB075165_01, Tunefamily: 10054_0, average precision:[0.251371201510775] 
Query: NLB075165_02, Tunefamily: 10054_0, average precision:[0.27044935026487954] 
Query: NLB076693_01, Tunefamily: 10054_0, average precision:[0.5003292723081989] 
Query: NLB074562_01, Tunefamily: 10056_0, average precision:[0.24171820199499858] 
Query: NLB074562_02, Tunefamily: 10056_0, average precision:[0.26707645737720925] 
Query: NLB074567_02, Tunefamily: 10056_0, average precision:[0.39448399856166844] 
Query: NLB075652_01, Tunefamily: 10056_0, average precision:[0.207350327361807] 
Query: NLB075652_02, Tunefamily: 10056_0, average precision:[0.22634278909856584] 
Query: NLB070130_01, Tunefamily: 10058_0, average precision:[0.051470812857984265] 
Query: NLB072149_01, Tunefamily: 10058_0, average precision:[0.07221738778011352] 
Query: NLB072156_01, Tunefamily: 10058_0, average precision:[0.0580838082069667] 
Query: NLB072190_01, Tunefamily: 10058_0, average precision:[0.1507936931720058] 
Query: NLB074042_01, Tunefamily: 10058_0, average precision:[0.05715535329599565] 
Query: NLB074356_01, Tunefamily: 10058_0, average precision:[0.10474768826215376] 
Query: NLB074357_01, Tunefamily: 10058_0, average precision:[0.05400114720666625] 
Query: NLB074380_01, Tunefamily: 10058_0, average precision:[0.06304038147749216] 
Query: NLB074520_01, Tunefamily: 10058_0, average precision:[0.04891123348274447] 
Query: NLB074543_01, Tunefamily: 10058_0, average precision:[0.059581238243546115] 
Query: NLB074555_02, Tunefamily: 10058_0, average precision:[0.10195221798746774] 
Query: NLB074556_01, Tunefamily: 10058_0, average precision:[0.10672539450279833] 
Query: NLB074560_01, Tunefamily: 10058_0, average precision:[0.0923281950376099] 
Query: NLB074589_01, Tunefamily: 10058_0, average precision:[0.04931146212716927] 
Query: NLB074907_01, Tunefamily: 10058_0, average precision:[0.05941836040428865] 
Query: NLB075188_01, Tunefamily: 10058_0, average precision:[0.0890687066084387] 
Query: NLB075236_01, Tunefamily: 10058_0, average precision:[0.05652388735346603] 
Query: NLB075377_01, Tunefamily: 10058_0, average precision:[0.09673034892987135] 
Query: NLB075647_01, Tunefamily: 10058_0, average precision:[0.04865127991308788] 
Query: NLB075647_02, Tunefamily: 10058_0, average precision:[0.20477355201772088] 
Query: NLB075705_01, Tunefamily: 10058_0, average precision:[0.061571298951936096] 
Query: NLB076073_01, Tunefamily: 10058_0, average precision:[0.04910446453893581] 
Query: NLB076304_01, Tunefamily: 10058_0, average precision:[0.048334382982604424] 
Query: NLB071440_01, Tunefamily: 10059_1, average precision:[0.19619618555878104] 
Query: NLB074521_01, Tunefamily: 10059_1, average precision:[0.3910568164159089] 
Query: NLB075675_01, Tunefamily: 10059_1, average precision:[0.19876184442701364] 
Query: NLB076245_01, Tunefamily: 10059_1, average precision:[0.1922031425430006] 
Query: NLB076380_01, Tunefamily: 10059_1, average precision:[0.39257160558002074] 
Query: NLB132526_01, Tunefamily: 10059_1, average precision:[0.3516301120930374] 
Query: NLB073127_01, Tunefamily: 10062_0, average precision:[0.5575279421433268] 
Query: NLB073134_02, Tunefamily: 10062_0, average precision:[0.5575279421433268] 
Query: NLB074571_01, Tunefamily: 10062_0, average precision:[0.3387632203213431] 
Query: NLB111833_01, Tunefamily: 10064_0, average precision:[0.5208333333333334] 
Query: NLB124585_01, Tunefamily: 10064_0, average precision:[0.5769230769230769] 
Query: NLB072812_01, Tunefamily: 10065_0, average precision:[0.504950495049505] 
Query: NLB075164_01, Tunefamily: 10065_0, average precision:[0.5125] 
Query: NLB072628_01, Tunefamily: 10066_0, average precision:[0.3367288513539204] 
Query: NLB072744_01, Tunefamily: 10066_0, average precision:[0.33476587445416733] 
Query: NLB146750_01, Tunefamily: 10066_0, average precision:[0.33429515938606846] 
Query: NLB075607_01, Tunefamily: 10067_0, average precision:[0.18765973680512973] 
Query: NLB135136_01, Tunefamily: 10067_0, average precision:[0.16750863302155497] 
Query: NLB137661_01, Tunefamily: 10067_0, average precision:[0.24615757014116657] 
Query: NLB140251_01, Tunefamily: 10067_0, average precision:[0.259673627657606] 
Query: NLB146751_01, Tunefamily: 10067_0, average precision:[0.23760247895754913] 
Query: NLB180964_01, Tunefamily: 10067_0, average precision:[0.17264482374101472] 
Query: NLB070441_01, Tunefamily: 10068_0, average precision:[0.6884057971014492] 
Query: NLB070441_02, Tunefamily: 10068_0, average precision:[0.7333333333333334] 
Query: NLB071664_01, Tunefamily: 10068_0, average precision:[0.6333333333333333] 
Query: NLB111763_01, Tunefamily: 10075_0, average precision:[0.1029888459053733] 
Query: NLB112043_01, Tunefamily: 10075_0, average precision:[0.06069870087840896] 
Query: NLB123866_01, Tunefamily: 10075_0, average precision:[0.06612578376464837] 
Query: NLB128893_01, Tunefamily: 10075_0, average precision:[0.4026372850721879] 
Query: NLB134711_01, Tunefamily: 10075_0, average precision:[0.06238606978230199] 
Query: NLB135766_01, Tunefamily: 10075_0, average precision:[0.3842226618257114] 
Query: NLB135806_01, Tunefamily: 10075_0, average precision:[0.24328997850715273] 
Query: NLB167172_01, Tunefamily: 10075_0, average precision:[0.41688353524648974] 
Query: NLB167423_01, Tunefamily: 10075_0, average precision:[0.34840520358713256] 
Query: NLB176222_01, Tunefamily: 10075_0, average precision:[0.33955070251763136] 
Query: NLB177272_01, Tunefamily: 10075_0, average precision:[0.139511725548378] 
Query: NLB180772_01, Tunefamily: 10075_0, average precision:[0.016904343846813608] 
Query: NLB183237_01, Tunefamily: 10075_0, average precision:[0.34698689731047416] 
Query: NLB183445_01, Tunefamily: 10075_0, average precision:[0.1286857446790815] 
Query: NLB183458_01, Tunefamily: 10075_0, average precision:[0.1286857446790815] 
Query: NLB195522_01, Tunefamily: 10075_0, average precision:[0.41688353524648974] 
Query: NLB196696_01, Tunefamily: 10075_0, average precision:[0.07831166897412031] 
Query: NLB128883_01, Tunefamily: 10121_0, average precision:[0.5141925892779453] 
Query: NLB128886_01, Tunefamily: 10121_0, average precision:[0.6458990610540034] 
Query: NLB135024_01, Tunefamily: 10121_0, average precision:[0.6564727464429816] 
Query: NLB151594_01, Tunefamily: 10121_0, average precision:[0.6458990610540034] 
Query: NLB167266_01, Tunefamily: 10121_0, average precision:[0.6663696693765295] 
Query: NLB167266_02, Tunefamily: 10121_0, average precision:[0.06888866315732448] 
Query: NLB167335_01, Tunefamily: 10121_0, average precision:[0.2925382501967849] 
Query: NLB167335_02, Tunefamily: 10121_0, average precision:[0.06418827996059569] 
Query: NLB167411_01, Tunefamily: 10121_0, average precision:[0.6564727464429816] 
Query: NLB175620_01, Tunefamily: 10121_0, average precision:[0.6458990610540034] 
Query: NLB176066_01, Tunefamily: 10121_0, average precision:[0.6882769424785273] 
Query: NLB183203_01, Tunefamily: 10121_0, average precision:[0.26248489618959797] 
Query: NLB183210_01, Tunefamily: 10121_0, average precision:[0.5654808730356307] 
Query: NLB192153_01, Tunefamily: 10121_0, average precision:[0.6882769424785273] 
Query: NLB198226_01, Tunefamily: 10121_0, average precision:[0.6882769424785273] 
Query: NLB198227_01, Tunefamily: 10121_0, average precision:[0.06910923215994408] 
Query: NLB126682_01, Tunefamily: 10140_1, average precision:[1.0] 
Query: NLB170230_01, Tunefamily: 10140_1, average precision:[1.0] 
Query: NLB108027_01, Tunefamily: 10141_0, average precision:[1.0] 
Query: NLB127300_01, Tunefamily: 10141_0, average precision:[1.0] 
Query: NLB170311_01, Tunefamily: 10141_0, average precision:[1.0] 
Query: NLB073497_01, Tunefamily: 10168_0, average precision:[0.5277777777777778] 
Query: NLB111597_01, Tunefamily: 10168_0, average precision:[0.7777777777777778] 
Query: NLB111748_01, Tunefamily: 10168_0, average precision:[0.7777777777777778] 
Query: NLB070713_01, Tunefamily: 10174_0, average precision:[0.1690727115630169] 
Query: NLB074912_01, Tunefamily: 10174_0, average precision:[0.5310944344882517] 
Query: NLB075376_01, Tunefamily: 10174_0, average precision:[0.36137111933736066] 
Query: NLB075450_01, Tunefamily: 10174_0, average precision:[0.39374603174603173] 
Query: NLB108772_01, Tunefamily: 10174_0, average precision:[0.19495946244584825] 
Query: NLB181001_01, Tunefamily: 10174_0, average precision:[0.26247489305462923] 
Query: NLB126814_01, Tunefamily: 10175_0, average precision:[0.7548309178743962] 
Query: NLB140308_01, Tunefamily: 10175_0, average precision:[0.7548309178743962] 
Query: NLB144667_01, Tunefamily: 10175_0, average precision:[0.7631578947368421] 
Query: NLB170316_01, Tunefamily: 10175_0, average precision:[0.29668263986286425] 
Query: NLB111089_01, Tunefamily: 10176_0, average precision:[0.06785963723877364] 
Query: NLB128647_01, Tunefamily: 10176_0, average precision:[0.367312661498708] 
Query: NLB170220_01, Tunefamily: 10176_0, average precision:[0.3567166278684582] 
Query: NLB074231_01, Tunefamily: 10178_0, average precision:[0.5008928571428571] 
Query: NLB074283_02, Tunefamily: 10178_0, average precision:[0.5013831258644537] 
Query: NLB071210_01, Tunefamily: 10179_0, average precision:[0.3378138148582912] 
Query: NLB106724_01, Tunefamily: 10179_0, average precision:[0.508] 
Query: NLB111582_01, Tunefamily: 10179_0, average precision:[0.6710914454277286] 
Query: NLB110742_01, Tunefamily: 10184_0, average precision:[0.5084033613445378] 
Query: NLB170253_01, Tunefamily: 10184_0, average precision:[0.5142857142857142] 
Query: NLB070764_01, Tunefamily: 10185_0, average precision:[0.2504151013771628] 
Query: NLB134091_01, Tunefamily: 10185_0, average precision:[0.2582124196449027] 
Query: NLB170237_01, Tunefamily: 10185_0, average precision:[0.26109273373068115] 
Query: NLB180863_01, Tunefamily: 10185_0, average precision:[0.2509933769690136] 
Query: NLB146424_01, Tunefamily: 10186_0, average precision:[0.5294117647058824] 
Query: NLB170239_01, Tunefamily: 10186_0, average precision:[0.5555555555555556] 
Query: NLB070384_01, Tunefamily: 10199_0, average precision:[0.0723111839616694] 
Query: NLB112042_01, Tunefamily: 10199_0, average precision:[0.5005068423720223] 
Query: NLB167432_01, Tunefamily: 10205_0, average precision:[0.5017513134851138] 
Query: NLB167432_02, Tunefamily: 10205_0, average precision:[0.5006067961165048] 
Query: NLB138146_01, Tunefamily: 1020_0, average precision:[1.0] 
Query: NLB138195_01, Tunefamily: 1020_0, average precision:[1.0] 
Query: NLB114132_01, Tunefamily: 10211_0, average precision:[0.450563498211156] 
Query: NLB123921_01, Tunefamily: 10211_0, average precision:[0.2371154636219756] 
Query: NLB125893_01, Tunefamily: 10211_0, average precision:[0.11502862900887202] 
Query: NLB126367_01, Tunefamily: 10211_0, average precision:[0.2020096928011225] 
Query: NLB126972_01, Tunefamily: 10211_0, average precision:[0.27484122491042984] 
Query: NLB146994_01, Tunefamily: 10211_0, average precision:[0.6238583285951708] 
Query: NLB151327_01, Tunefamily: 10211_0, average precision:[0.6238583285951708] 
Query: NLB177241_01, Tunefamily: 10211_0, average precision:[0.1120191159756025] 
Query: NLB179589_01, Tunefamily: 10211_0, average precision:[0.5707962286583341] 
Query: NLB074816_01, Tunefamily: 10217_1, average precision:[0.14591034056303706] 
Query: NLB076264_01, Tunefamily: 10217_1, average precision:[0.14562145242760147] 
Query: NLB076855_01, Tunefamily: 10217_1, average precision:[0.14694605380349737] 
Query: NLB139086_01, Tunefamily: 10217_1, average precision:[0.2238942817443757] 
Query: NLB139650_01, Tunefamily: 10217_1, average precision:[0.29522865160926093] 
Query: NLB140481_01, Tunefamily: 10217_1, average precision:[0.24128234896465311] 
Query: NLB143263_01, Tunefamily: 10217_1, average precision:[0.29522865160926093] 
Query: NLB075282_01, Tunefamily: 10217_2, average precision:[0.40657894736842104] 
Query: NLB075878_01, Tunefamily: 10217_2, average precision:[0.3584858485848585] 
Query: NLB075887_01, Tunefamily: 10217_2, average precision:[0.35082956259426845] 
Query: NLB124975_01, Tunefamily: 10222_0, average precision:[0.11330788554707763] 
Query: NLB129835_01, Tunefamily: 10222_0, average precision:[0.10943584782344425] 
Query: NLB134752_01, Tunefamily: 10222_0, average precision:[0.11685574297784564] 
Query: NLB167783_01, Tunefamily: 10222_0, average precision:[0.13071029217752386] 
Query: NLB176531_01, Tunefamily: 10222_0, average precision:[0.10674642038635536] 
Query: NLB176905_01, Tunefamily: 10222_0, average precision:[0.013389010097310444] 
Query: NLB177054_01, Tunefamily: 10222_0, average precision:[0.11846922915837682] 
Query: NLB178090_01, Tunefamily: 10222_0, average precision:[0.11232390644204181] 
Query: NLB183412_01, Tunefamily: 10222_0, average precision:[0.11093810898348998] 
Query: NLB184335_01, Tunefamily: 10222_0, average precision:[0.10206138239734766] 
Query: NLB138086_01, Tunefamily: 10224_0, average precision:[0.34056907110873275] 
Query: NLB152298_01, Tunefamily: 10224_0, average precision:[0.33667077061572476] 
Query: NLB190986_01, Tunefamily: 10224_0, average precision:[0.3350158656336472] 
Query: NLB128092_01, Tunefamily: 10226_0, average precision:[0.29799958540630184] 
Query: NLB151514_01, Tunefamily: 10226_0, average precision:[0.2789847317351598] 
Query: NLB167769_01, Tunefamily: 10226_0, average precision:[0.2997750008093496] 
Query: NLB178133_01, Tunefamily: 10226_0, average precision:[0.3070273631840796] 
Query: NLB143232_01, Tunefamily: 10229_0, average precision:[0.15555555555555556] 
Query: NLB167095_01, Tunefamily: 10229_0, average precision:[0.15555555555555556] 
Query: NLB150881_01, Tunefamily: 10231_1, average precision:[0.5769230769230769] 
Query: NLB180427_01, Tunefamily: 10231_1, average precision:[0.625] 
Query: NLB150882_01, Tunefamily: 10231_2, average precision:[1.0] 
Query: NLB180428_01, Tunefamily: 10231_2, average precision:[1.0] 
Query: NLB150883_01, Tunefamily: 10231_3, average precision:[1.0] 
Query: NLB180429_01, Tunefamily: 10231_3, average precision:[1.0] 
Query: NLB150884_01, Tunefamily: 10231_4, average precision:[1.0] 
Query: NLB180430_01, Tunefamily: 10231_4, average precision:[1.0] 
Query: NLB071041_01, Tunefamily: 10236_0, average precision:[0.26273100713234615] 
Query: NLB071193_01, Tunefamily: 10236_0, average precision:[0.18619919027561999] 
Query: NLB076585_01, Tunefamily: 10236_0, average precision:[0.26985593185650925] 
Query: NLB146544_01, Tunefamily: 10236_0, average precision:[0.2084558541424901] 
Query: NLB146558_01, Tunefamily: 10236_0, average precision:[0.30085302321318463] 
Query: NLB170243_01, Tunefamily: 10236_0, average precision:[0.35081894637488287] 
Query: NLB170279_01, Tunefamily: 10236_0, average precision:[0.14822128911648574] 
Query: NLB112071_01, Tunefamily: 10238_0, average precision:[1.0] 
Query: NLB112230_01, Tunefamily: 10238_0, average precision:[1.0] 
Query: NLB112241_01, Tunefamily: 10238_0, average precision:[1.0] 
Query: NLB150952_01, Tunefamily: 10252_0, average precision:[1.0] 
Query: NLB167435_01, Tunefamily: 10252_0, average precision:[0.5555555555555556] 
Query: NLB180278_01, Tunefamily: 10252_0, average precision:[0.8666666666666667] 
Query: NLB170240_01, Tunefamily: 10254_0, average precision:[1.0] 
Query: NLB181026_01, Tunefamily: 10254_0, average precision:[1.0] 
Query: NLB074918_01, Tunefamily: 10259_0, average precision:[0.17568781346723075] 
Query: NLB076191_01, Tunefamily: 10259_0, average precision:[0.1676865830354804] 
Query: NLB076191_02, Tunefamily: 10259_0, average precision:[0.19857050286311467] 
Query: NLB142148_01, Tunefamily: 10259_0, average precision:[0.24949354848865257] 
Query: NLB142738_01, Tunefamily: 10259_0, average precision:[0.16731103482449322] 
Query: NLB170227_01, Tunefamily: 10259_0, average precision:[0.34323087050210205] 
Query: NLB137597_01, Tunefamily: 1025_0, average precision:[0.5017421602787456] 
Query: NLB191039_01, Tunefamily: 1025_0, average precision:[0.5018382352941176] 
Query: NLB071760_01, Tunefamily: 10260_0, average precision:[0.6333333333333333] 
Query: NLB076606_01, Tunefamily: 10260_0, average precision:[0.75] 
Query: NLB170251_01, Tunefamily: 10260_0, average precision:[0.75] 
Query: NLB113172_01, Tunefamily: 10267_0, average precision:[0.5041152263374485] 
Query: NLB113184_01, Tunefamily: 10267_0, average precision:[0.5112359550561798] 
Query: NLB074876_02, Tunefamily: 10286_0, average precision:[0.5133333333333333] 
Query: NLB170222_01, Tunefamily: 10286_0, average precision:[0.5294117647058824] 
Query: NLB072226_01, Tunefamily: 10321_0, average precision:[0.5080545033670034] 
Query: NLB072227_01, Tunefamily: 10321_0, average precision:[0.5080545033670034] 
Query: NLB128897_01, Tunefamily: 10321_0, average precision:[0.2584239574580739] 
Query: NLB170264_01, Tunefamily: 10321_0, average precision:[0.2526830506182112] 
Query: NLB071805_01, Tunefamily: 10329_0, average precision:[1.0] 
Query: NLB170219_01, Tunefamily: 10329_0, average precision:[1.0] 
Query: NLB129935_01, Tunefamily: 10330_0, average precision:[0.55] 
Query: NLB135392_01, Tunefamily: 10330_0, average precision:[0.625] 
Query: NLB070745_01, Tunefamily: 10334_1, average precision:[0.3340197060960784] 
Query: NLB112079_01, Tunefamily: 10334_1, average precision:[0.3342016716431415] 
Query: NLB180949_01, Tunefamily: 10334_1, average precision:[0.030981430830978127] 
Query: NLB113247_01, Tunefamily: 10334_2, average precision:[1.0] 
Query: NLB180948_01, Tunefamily: 10334_2, average precision:[1.0] 
Query: NLB134795_01, Tunefamily: 10345_0, average precision:[1.0] 
Query: NLB134904_01, Tunefamily: 10345_0, average precision:[1.0] 
Query: NLB134836_01, Tunefamily: 10347_0, average precision:[1.0] 
Query: NLB134991_01, Tunefamily: 10347_0, average precision:[1.0] 
Query: NLB135672_01, Tunefamily: 10358_0, average precision:[0.4829059829059829] 
